Family,Assessment,Housing,Health and Wellness,Food/Nutrition,Transportation,Employment,Financial Literacy,Family Safety,Heating,Family Relationships,Child Development/Parenting Skills,Family Literacy,School Readiness,Education/Training,Family Engagement,Child's Educational Transitions,Life Transitions,Family Relationships,Community Involvement,Leadership and Advocacy,TOTAL,Classroom,Year
2521's Family,1,3,3,3,3,2,3,3,3,4,4,4,4,3,3,4,3,4,3,3,62,ACAP Early Education Services - Birch Early Care & Education - < No Classroom >,2021-2022
2521's Family,2,4,3,3,2,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,69,ACAP Early Education Services - Birch Early Care & Education - < No Classroom >,2021-2022
2001's Family,1,3,3,2,2,2,2,4,3,2,2,2,2,3,3,3,3,3,3,2,49,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2001's Family,2,3,3,3,2,2,3,4,3,2,2,3,3,2,3,3,3,3,3,2,52,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2141's Family,1,4,4,4,4,4,4,4,3,4,5,3,4,3,3,4,4,4,4,2,71,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2141's Family,2,3,4,3,3,2,3,4,3,4,4,4,4,3,3,4,4,4,2,2,63,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2144's Family,1,3,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,67,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2144's Family,2,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,68,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1777's Family,1,4,4,4,3,3,5,4,3,4,3,3,3,3,3,3,3,4,4,3,66,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1777's Family,2,4,4,4,3,3,5,4,4,4,3,3,3,3,3,3,3,4,4,3,67,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1422's Family,1,3,4,3,4,3,4,4,3,4,3,4,4,2,3,3,3,4,3,3,64,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1422's Family,2,3,4,3,4,3,4,4,3,4,3,4,4,2,3,3,3,4,3,3,64,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2360's Family,1,3,4,4,2,3,3,3,3,2,3,2,3,3,3,3,3,2,4,4,57,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2360's Family,2,3,4,4,4,2,3,3,3,2,3,2,3,3,3,3,3,2,4,4,58,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2345's Family,1,4,4,4,5,4,4,5,5,4,5,5,5,5,4,5,5,5,5,4,87,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2345's Family,2,4,4,4,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4,88,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2259's Family,1,4,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,4,3,2,62,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2259's Family,2,3,3,3,4,2,3,4,3,4,4,3,3,3,3,3,3,4,3,2,60,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2311's Family,1,4,4,4,4,3,3,5,3,4,4,4,3,3,3,3,3,4,2,2,65,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
2311's Family,2,4,4,4,4,4,3,5,3,4,4,4,3,3,3,3,3,4,2,2,66,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1328's Family,1,5,4,3,5,4,4,4,3,4,4,3,4,3,4,4,4,4,5,3,74,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1328's Family,2,5,4,3,5,4,4,4,3,4,4,3,4,4,4,4,4,4,5,3,75,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1990's Family,1,3,3,3,2,2,3,4,3,4,4,3,3,3,3,4,3,4,4,3,61,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1990's Family,2,3,3,3,2,2,3,4,3,4,4,3,3,3,3,4,3,4,4,3,61,ACAP Early Education Services - Birch Early Care & Education - Collaboration HS-Full Day,2021-2022
1070's Family,1,4,4,4,2,2,4,5,3,4,4,3,3,3,3,4,3,4,4,2,65,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
1070's Family,2,4,4,4,4,4,4,5,3,4,4,3,3,4,3,4,3,4,4,3,71,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2259's Family,1,4,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,4,3,2,62,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2259's Family,2,3,3,3,4,2,3,4,3,4,4,3,3,3,3,3,3,4,3,2,60,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2001's Family,1,3,3,2,2,2,2,4,3,2,2,2,2,3,3,3,3,3,3,2,49,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2001's Family,2,3,3,3,2,2,3,4,3,2,2,3,3,2,3,3,3,3,3,2,52,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2251's Family,1,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,55,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2251's Family,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,58,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2144's Family,1,3,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,67,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2144's Family,2,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,68,ACAP Early Education Services - Birch Early Care & Education - Early Head Start,2021-2022
2259's Family,1,4,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,4,3,2,62,ACAP Early Education Services - Birch Early Care & Education - Infant/Toddler,2021-2022
