Family,Assessment,Housing,Health and Wellness,Food/Nutrition,Transportation,Employment,Financial Literacy,Family Safety,Heating,Family Relationships,Child Development/Parenting Skills,Family Literacy,School Readiness,Education/Training,Family Engagement,Child's Educational Transitions,Life Transitions,Family Relationships,Community Involvement,Leadership and Advocacy,TOTAL,Classroom,Year
2078's Family,1,4,4,3,4,3,4,4,3,4,3,3,3,4,3,4,4,4,4,3,68,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
2078's Family,2,4,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,69,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1517's Family,1,5,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,72,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1517's Family,2,5,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,71,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1647's Family,1,4,4,3,3,4,4,4,3,4,5,5,5,5,4,5,4,4,4,3,77,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1647's Family,2,4,4,3,3,4,3,4,3,4,4,5,5,5,4,5,4,4,4,3,75,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1521's Family,1,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,74,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1521's Family,2,5,4,3,5,5,4,5,3,5,5,5,5,4,5,5,4,4,4,4,84,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
2177's Family,1,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,2,68,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
2177's Family,2,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,71,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
2269's Family,1,3,3,3,4,4,3,4,3,4,4,4,4,4,3,3,4,4,3,2,66,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
2269's Family,2,3,4,3,4,4,3,4,3,3,4,3,4,4,4,3,4,4,3,3,67,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1960's Family,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,73,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1960's Family,2,3,4,3,4,4,4,4,3,5,4,4,4,4,4,4,3,4,3,3,71,ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,2020-2021
1126's Family,1,5,4,4,5,5,4,5,5,4,5,4,5,5,5,5,4,5,4,4,87,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1126's Family,2,5,4,4,5,4,5,5,3,4,5,4,5,5,5,5,4,5,4,4,85,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
2269's Family,1,3,3,3,4,4,3,4,3,4,4,4,4,4,3,3,4,4,3,2,66,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
2269's Family,2,3,4,3,4,4,3,4,3,3,4,3,4,4,4,3,4,4,3,3,67,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
2136's Family,1,3,4,3,4,3,4,3,3,4,4,4,4,3,3,4,4,4,3,2,66,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
2136's Family,2,4,4,3,3,3,3,4,3,4,4,4,3,3,3,3,4,4,3,3,65,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1233's Family,1,3,3,3,4,2,3,4,3,4,5,4,5,2,3,5,3,4,4,3,67,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1233's Family,2,3,3,3,4,2,3,4,3,4,5,4,5,2,3,5,3,4,4,3,67,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1023's Family,1,4,4,3,3,4,3,4,3,3,4,4,4,3,4,4,3,5,4,3,69,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1023's Family,2,4,4,3,4,4,3,4,3,4,3,3,3,3,4,3,4,4,4,3,67,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1132's Family,1,5,5,5,3,5,4,4,3,5,5,5,5,5,5,5,5,3,4,4,85,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1132's Family,2,5,5,5,3,5,4,4,3,5,5,5,5,5,4,5,5,5,4,4,86,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1804's Family,1,4,4,3,4,2,3,4,3,4,4,4,4,3,3,4,4,4,3,2,66,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
1804's Family,2,5,4,3,4,2,4,4,3,4,4,3,4,3,4,4,4,4,3,3,69,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2020-2021
2047's Family,1,3,4,3,3,4,2,4,3,4,4,3,3,2,3,3,3,4,3,2,60,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
2047's Family,2,3,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,4,3,3,69,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
2281's Family,1,3,4,3,4,2,3,3,3,4,3,4,4,3,4,4,3,4,4,3,65,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
2281's Family,2,3,4,3,3,4,3,4,3,4,3,4,3,4,4,3,4,4,4,3,67,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
1297's Family,1,4,4,3,4,4,4,3,3,4,5,5,5,4,3,4,4,4,3,3,73,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
1297's Family,2,5,4,3,5,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,74,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
2236's Family,1,4,4,3,2,2,3,3,3,4,4,5,4,3,3,4,3,4,3,3,64,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
2236's Family,2,4,4,3,2,2,3,3,3,4,4,5,4,3,3,4,4,4,4,3,66,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
2284's Family,1,4,4,3,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,3,74,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2020-2021
